sector,name,date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
GLASS & CERAMICS,Ghani Glass Limited,2026-07-18,GHGL,39.31,38.81,39.75,38.25,52.25,27.78,38.8B,999.71M,349.9M,220.72K,35,5.15,6.21,13.11,0.96,6.25,0.25
AUTOMOBILE ASSEMBLER,Ghandhara Industries Limited,2026-07-18,GHNI,1144,1132.31,1159,1124,1285.15,590,48.25B,42.61M,14.91M,603.39K,35,1.54,162.33,11.84,2.62,3.78,0.02
FOOD & PERSONAL CARE PRODUCTS,Good Luck Industries Ltd.,2026-07-18,GIL,0,1000,0,0,0,0,0,0,0,0,0,0.19,15.14,0.25,0,115.63,-14.54
PHARMACEUTICALS,GlaxoSmithKline Pakistan Limited,2026-07-18,GLAXO,359,357.75,360.98,355,459.94,293.09,113.93B,318.47M,63.69M,313.16K,20,4.36,33,15.6,3.14,9.54,0.18
MISCELLANEOUS,GOC (Pak) Limited.,2026-07-18,GOC,191,200.62,204.99,186,204.99,77,1.47B,7.35M,1.1M,48.26K,15,0.5,4.14,6.12,2.05,48.41,1.71
AUTOMOBILE PARTS & ACCESSORIES,Ghandhara Tyre & Rubber Company Limited,2026-07-18,GTYR,35.35,33.98,35.38,33.67,49.46,22.26,4.14B,121.93M,48.77M,4.61M,40,0,-6.34,-4.84,0.65,-5.36,0.58
GLASS & CERAMICS,Ghani Value Glass Limited,2026-07-18,GVGL,55.45,53.5,55.95,53.05,75,43.65,8.02B,149.94M,29.38M,2.97K,19.59,5.61,6.64,15.54,1.59,8.05,
CEMENT,Gharibwal Cement Limited,2026-07-18,GWLC,50.48,49.7,50.48,49.01,77.96,38.75,19.89B,400.27M,40.03M,150.45K,10,3.02,6.74,12.64,0.73,5.92,0.5
TEXTILE COMPOSITE,Hala Enterprises Limited,2026-07-18,HAEL,29.8,28.04,29.8,27.65,37.96,14.91,364.42M,13M,1.95M,25.8K,15,,,,,,
TEXTILE COMPOSITE,Hafiz Limited,2026-07-18,HAFL,494.9,499.89,500,450,629.5,283.58,599.87M,1.2M,42.48K,113.6,3.54,,,,,,
PHARMACEUTICALS,Haleon Pakistan Limited,2026-07-18,HALEON,762,759.56,765.99,755.02,1010,655,88.91B,117.05M,15.74M,45.12K,13.44,3.6,55.96,15.35,6.1,12.32,0.19
AUTOMOBILE ASSEMBLER,Honda Atlas Cars (Pakistan) Limited,2026-07-18,HCAR,241.01,239.06,244.99,238.79,321,147.5,34.14B,142.8M,28.56M,766.11K,20,3.76,22.64,2.64,1.34,10.56,32.55
AUTOMOBILE ASSEMBLER,Hinopak Motors Limited,2026-07-18,HINO,428,429.46,434,423,634.5,264.69,10.65B,24.8M,2.55M,15.11K,10.28,2.54,21.82,4.92,1.76,19.68,0.27
PHARMACEUTICALS,Highnoon Laboratories Limited,2026-07-18,HINOON,985.68,980.13,986,969.99,1241,755.56,51.93B,52.98M,21.19M,26.67K,40,5.1,75.63,14.32,3.51,12.96,0.3
PHARMACEUTICALS,Hoechst Pakistan Limited,2026-07-18,HPL,4045,4029.43,4289,4005.01,4889.99,2925.66,38.86B,9.64M,964.48K,111,10,5.96,317.04,9.84,4.36,13.07,0.28
SUGAR & ALLIED INDUSTRIES,Habib Rice Product Limited.,2026-07-18,HRPL,20.9,20.05,20.9,20,37,16.51,802M,40M,8M,74.67K,20,0,-3.09,-5.61,1.08,-6.5,0.29
OIL & GAS MARKETING COMPANIES,Hi-Tech Lubricants Limited,2026-07-18,HTL,40.99,40.01,40.99,39.67,66.5,31.01,5.57B,139.2M,34.8M,654.07K,25,0,3.83,1.49,0.85,8.24,1.02
POWER GENERATION & DISTRIBUTION,The Hub Power Company Limited,2026-07-18,HUBC,221,218.11,224.5,217.3,249.99,144,282.92B,1.3B,972.87M,3.43M,75,11.46,34.65,63.41,1.25,6.29,-5
SYNTHETIC & RAYON,Ibrahim Fibres Limited,2026-07-18,IBFL,306,298.98,310,289,397.32,176.55,92.84B,310.51M,15.53M,2.17K,5,0,-1.49,-0.44,1.62,-200.28,-18.18
PHARMACEUTICALS,IBL HealthCare Limited,2026-07-18,IBLHL,54.45,51.57,54.45,51.1,85.82,36,5.08B,98.53M,24.63M,159.24K,25,0,2.44,5.36,2.04,21.14,5.55
TEXTILE WEAVING,ICC Industries Limited,2026-07-18,ICCI,13.75,12.75,13.96,12.56,17.91,8.61,382.51M,30M,4.5M,30.78K,15,,,,,,
CHEMICAL,Ittehad Chemicals Limted,2026-07-18,ICL,140.16,138.99,141.85,138.82,176,81.1,13.9B,100M,45M,93.78K,45,2.16,13.74,4.34,1.27,10.12,0.39
