date,symbol,price_open,price_close,price_high,price_low,high_52wk,low_52wk,market_cap,shares_outstanding,float_shares,weekly_avg_volume,free_float_pct,dividend_yield,eps,net_income_margin,price_to_book,price_to_earnings,peg_ratio
2026-07-18,LCI,235,231.96,235.98,231.6,396,201.17,107.12B,461.8M,92.36M,73.19K,20,4.93,20.25,8.25,1.91,11.48,0.56
2026-07-18,LEUL,44.99,41.8,44.99,41.7,72.68,25.76,250.8M,6M,1.8M,22.54K,30,,,,,,
2026-07-18,LIVEN,36.99,36.65,37.43,36.55,79.8,27.82,4.14B,113.04M,11.3M,36.03K,10,,,,,,
2026-07-18,LOADS,13.96,13.63,13.96,13.6,22.6,10.93,5.06B,371.25M,185.62M,1.42M,50,0,1.07,4.28,0.97,12.77,-0.01
2026-07-18,LOTCHEM,30.48,29.11,30.5,28.97,34.3,18.41,44.08B,1.51B,378.55M,30.73M,25,17.18,1.28,2.41,2.53,22.82,-9.53
2026-07-18,LPGL,94.99,92.28,94.99,92,138.5,63.01,692.1M,7.5M,1.88M,5.43K,25,,,,,,
2026-07-18,LUCK,453,445.63,456.49,444.14,529.5,339,652.85B,1.47B,439.5M,1.6M,30,0.9,56.88,16.86,1.62,7.83,0.16
2026-07-18,MACFL,66.98,67.23,69.5,64.16,86.98,19.52,3.99B,59.3M,23.72M,1.56M,40,0.74,2.13,1.96,1.71,31.54,7.31
2026-07-18,MACTER,277.7,282.65,297,277.52,443.5,255.1,12.95B,45.81M,18.32M,19.78K,40,1.34,17.8,6.82,3.21,15.88,0.29
2026-07-18,MARI,661.47,653.01,662.89,651.5,795,544.56,784.02B,1.2B,240.12M,659.87K,20,4.59,57.11,37.45,2.75,11.43,0.49
2026-07-18,MEBL,547,540.94,552.05,539.4,582,349.89,973.99B,1.8B,450.14M,1.11M,25,5.27,50.58,19.77,3.43,10.69,
2026-07-18,MEHT,196,195.55,200,195,389,190,5.87B,30M,19.5M,24.61K,65,0,39.74,1.87,0.31,5.65,0.12
2026-07-18,MERIT,9.95,9.78,10,9.76,14.69,7.1,1.96B,199.96M,39.99M,182.39K,20,0,-1.75,-10.52,0.83,-5.59,0.01
2026-07-18,MFFL,174.99,173.34,174.99,172,237,139.66,3.97B,22.88M,3.85M,2.98K,16.82,,,,,,
2026-07-18,MFL,43.18,42.18,43.18,41.5,85.73,39.1,5.16B,122.4M,42.84M,398.65K,35,0,4.13,1.98,0.48,10.2,0.21
2026-07-18,MIRKS,37.4,35.52,37.4,35.2,44.5,22.28,2.36B,66.56M,29.95M,67.09K,45,0,0.03,0.01,0.98,887.59,19.69
2026-07-18,MLCF,98.4,95.5,98.7,95,132.99,71,100.04B,1.05B,471.4M,14.57M,45,0,10.74,15.15,1.33,8.89,0.22
2026-07-18,MQTM,35,37.14,37.27,30.6,49,17.97,684.56M,18.43M,4.61M,190.81K,25,0,-79.43,-17.35,2.16,-0.47,0.01
2026-07-18,MRNS,64.89,63.4,65.4,63.1,94.01,52.32,4.75B,74.93M,26.22M,39.21K,35,11.22,22.15,14.35,1.02,2.61,
2026-07-18,MSCL,24,24.05,25,24,46.53,12.05,745.01M,30.98M,7.74M,178.44K,25,,,,,,
